Rank,LLM_MODEL,GAMMA,MAX_HISTORY_SESSIONS,MAX_HISTORY_HUMAN,MAE_Episode1,Pearson_Episode1,MAE_Episode2,Pearson_Episode2,MAE_Avg,Pearson_Avg
112,gpt-4.1,0.35,2,6,0.13457608832539253,0.9703345500287811,0.17993803154505816,0.9081167951709644,0.15725705993522535,0.9392256725998728
113,gpt-4.1,0.3,3,6,0.13466119344107164,0.9750678691597782,0.18107671493750055,0.9096991356682333,0.1578689541892861,0.9423835024140057
114,gpt-5-chat,0.9,3,6,0.13695273431086002,0.9241283613345048,0.17904207290922802,0.9247520118816132,0.15799740361004402,0.9244401866080589
115,gpt-4.1,0.3,2,6,0.13516558755315003,0.9696946642772488,0.18471262901493996,0.9061234826722355,0.159939108284045,0.9379090734747422
116,gpt-5-chat,0.3,3,6,0.15884617829401246,0.988384213320163,0.1611374548451412,0.925212233397254,0.15999181656957684,0.9567982233587085
117,gpt-5-chat,0.5,2,3,0.1332323782042204,0.959233130259816,0.1879359739282243,0.9152293774751288,0.16058417606622236,0.9372312538674724
118,gpt-5-chat,0.75,2,9,0.11627851246123505,0.9202033337425662,0.20520135070942558,0.9088475486412364,0.16073993158533031,0.9145254411919013
119,gpt-5-chat,0.25,2,9,0.14337050784636599,0.9776231169859697,0.18113346576557895,0.9174399029845677,0.16225198680597247,0.9475315099852687
120,gpt-5-chat,0.3,2,9,0.15090514439001712,0.9729638616244437,0.17469362186346624,0.9190764642776732,0.1627993831267417,0.9460201629510585
121,gpt-5-chat,0.35,3,6,0.16128473690690692,0.988794442129906,0.16511767414171527,0.9250205589234481,0.1632012055243111,0.9569075005266771
122,gpt-5-chat,0.7,3,9,0.12092694176797775,0.9207645600338369,0.20600468639194544,0.9055138219609113,0.16346581407996158,0.9131391909973741
123,gpt-4.1,0.6,2,9,0.1402801016254672,0.8772456508147832,0.1883389573539821,0.9076729436797356,0.16430952948972466,0.8924592972472594
124,gpt-4.1,0.55,3,3,0.12481276471240244,0.9847185005528173,0.20565757348339075,0.9038465862362454,0.1652351690978966,0.9442825433945313
125,gpt-4.1,0.65,2,9,0.144283309278896,0.8831216911621514,0.18656393494364232,0.9104249845948225,0.16542362211126915,0.896773337878487
126,gpt-5-chat,0.8,2,9,0.12718434291312988,0.9118856158216178,0.20475217467605866,0.9105435709086257,0.16596825879459426,0.9112145933651217
127,gpt-4.1,0.25,3,6,0.14171624257130577,0.974034089563588,0.19133300000257927,0.9003183617660392,0.1665246212869425,0.9371762256648135
128,gpt-4.1,0.5,3,3,0.14170691266725455,0.9831872867813052,0.1915589019606114,0.9122700579413898,0.166632907313933,0.9477286723613475
129,gpt-4.1,0.55,3,9,0.13991039067631822,0.8855999510800197,0.19374572971827497,0.9043403665529154,0.1668280601972966,0.8949701588164676
130,gpt-5-chat,0.3,2,6,0.17047869869560783,0.9847440232194707,0.16490803616453886,0.9240883881014542,0.16769336743007335,0.9544162056604625
131,gpt-4.1,0.25,2,6,0.14400099624250523,0.9740541876538602,0.19239889275540026,0.903006102521521,0.16819994449895276,0.9385301450876906
132,gpt-5-chat,0.45,3,3,0.1430941982893946,0.9444792144254135,0.1937871101677876,0.9092539320263306,0.1684406542285911,0.9268665732258721
133,gpt-5-chat,0.45,2,3,0.1485525821721938,0.9470045800404998,0.18866334752917574,0.9142286432624654,0.16860796485068477,0.9306166116514827
134,gpt-4.1,0.9,3,6,0.16699965020887597,0.9049598598786901,0.17144465807927037,0.9283701831798988,0.16922215414407316,0.9166650215292944
135,gpt-5-chat,0.95,3,6,0.15298691830629826,0.9084200902973717,0.18663085037621696,0.9189604495775985,0.16980888434125763,0.9136902699374851
